title,authors,year,venue,arxiv_id,doi,url,local_path,broad_category,trading_task,asset_class,rl_algorithm,data_frequency,input_features,action_space,reward_type,contribution,notes
Implementation Matters in Deep Policy Gradients: A Case Study on PPO and TRPO,Logan Engstrom; Andrew Ilyas; Shibani Santurkar; Dimitris Tsipras; Firdaus Janoos; Larry Rudolph; Aleksander Madry,2020,ICLR 2020,2005.12729,unknown,https://arxiv.org/abs/2005.12729,01_rl_methods/2005.12729_engstrom_implementation_matters_deep_pg.pdf,rl_methods,not trading-specific,none,PPO; TRPO,unknown,RL benchmark observations,benchmark-dependent,benchmark environment reward,Studies code-level implementation choices in PPO/TRPO.,Useful implementation reference.
"Generalization, Mayhems and Limits in Recurrent Proximal Policy Optimization",Marco Pleines; Matthias Pallasch; Frank Zimmer; Mike Preuss,2022,arXiv,2205.11104,unknown,https://arxiv.org/abs/2205.11104,01_rl_methods/2205.11104_recurrent_ppo_mayhems.pdf,rl_methods,not trading-specific,none,Recurrent PPO,sequence episodes,partially observable environment observations,benchmark-dependent,environment return,"Details recurrent PPO implementation pitfalls: hidden states, padding, and masking.",Relevant when adding LSTM/GRU policies.
Simple Policy Optimization,Zhengpeng Xie; Qiang Zhang; Fan Yang; Marco Hutter; Renjing Xu,2025,arXiv,2401.16025,unknown,https://arxiv.org/abs/2401.16025,01_rl_methods/2401.16025_simple_policy_optimization.pdf,rl_methods,not trading-specific,none,SPO; PPO; TRPO,unknown,RL benchmark observations,benchmark-dependent,environment return,Simplifies trust-region style policy optimization.,Policy optimization reference.
What?s Behind PPO?s Collapse in Long-CoT? Value Optimization Holds the Secret,Yufeng Yuan; Yu Yue; Ruofei Zhu; Tiantian Fan; Lin Yan,2025,arXiv,2503.01491,unknown,https://arxiv.org/abs/2503.01491,01_rl_methods/2503.01491_vc_ppo_long_horizon_decoupled_gae.pdf,rl_methods,not trading-specific,none,VC-PPO; PPO; GAE,long-horizon token sequences,LLM reasoning trajectories,language tokens,task reward,Analyzes PPO collapse and proposes value-calibrated PPO.,General PPO stability insight; not finance-specific.
Safe and Compliant Cross-Market Trade Execution via Constrained RL and Zero-Knowledge Audits,Ailiya Borjigin; Cong He,2025,arXiv,2510.04952,unknown,https://arxiv.org/abs/2510.04952,05_execution_costs_and_hedging/2510.04952_cmdp_ppo_trade_execution.pdf,trade_execution,cross-market trade execution,multi-asset,PPO; CMDP; constrained RL,unknown,execution state; compliance constraints,trade execution actions,execution performance with hard constraints,Combines RL execution with compliance shielding and auditability.,Recent/forward-looking; verify claims before relying on it.
Recurrent Experience Replay in Distributed Reinforcement Learning,Steven Kapturowski; Georg Ostrovski; John Quan; Remi Munos; Will Dabney,2019,ICLR 2019,unknown,unknown,https://openreview.net/forum?id=r1lyTjAqYX,01_rl_methods/r1lytjaqyx_r2d2_recurrent_experience_replay.pdf,rl_methods,not trading-specific,none,R2D2; recurrent DQN,sequence episodes,Atari/DMLab observations,discrete,environment return,Distributed recurrent replay with burn-in and sequence handling.,Useful for recurrent off-policy trading agents.
SGDR: Stochastic Gradient Descent with Warm Restarts,Ilya Loshchilov; Frank Hutter,2017,ICLR 2017,1608.03983,unknown,https://arxiv.org/abs/1608.03983,02_rl_stability_and_training/1608.03983_sgdr.pdf,rl_stability_training,not trading-specific,none,SGD schedule,unknown,neural network training data,none,optimization objective,Cosine annealing with warm restarts.,Optimizer/training schedule reference.
What Matters In On-Policy Reinforcement Learning? A Large-Scale Empirical Study,Marcin Andrychowicz; Anton Raichuk; Piotr Stanczyk; Manu Orsini; Sertan Girgin; Raphael Marinier; Leonard Hussenot; Matthieu Geist; Olivier Pietquin; Marcin Michalski; Sylvain Gelly; Olivier Bachem,2020,arXiv,2006.05990,unknown,https://arxiv.org/abs/2006.05990,02_rl_stability_and_training/2006.05990_what_matters_on_policy_rl.pdf,rl_stability_training,not trading-specific,none,on-policy RL; PPO-like methods,unknown,continuous control observations,continuous,environment return,Empirical study of design choices in on-policy RL.,Good checklist for PPO/A2C experiments.
Towards Deeper Deep Reinforcement Learning with Spectral Normalization,Johan Bjorck; Carla P. Gomes; Kilian Q. Weinberger,2021,NeurIPS 2021 / arXiv,2106.01151,unknown,https://arxiv.org/abs/2106.01151,02_rl_stability_and_training/2106.01151_bjorck_towards_deeper_drl_spectral_norm.pdf,rl_stability_training,not trading-specific,none,actor-critic; spectral normalization,unknown,RL observations,benchmark-dependent,environment return,Shows normalization can stabilize deeper RL networks.,Relevant to stable PPO/A2C architectures.
The Primacy Bias in Deep Reinforcement Learning,Evgenii Nikishin; Max Schwarzer; Pierluca D?Oro; Pierre-Luc Bacon; Aaron Courville,2022,ICML / arXiv,2205.07802,unknown,https://arxiv.org/abs/2205.07802,02_rl_stability_and_training/2205.07802_nikishin_primacy_bias.pdf,rl_stability_training,not trading-specific,none,deep RL; resets,unknown,RL observations,benchmark-dependent,environment return,Identifies over-reliance on early experience in deep RL.,Important for non-stationary market training.
Maintaining Plasticity in Continual Learning via Regenerative Regularization,Saurabh Kumar; Henrik Marklund; Benjamin Van Roy,2024,CoLLAs 2024 / arXiv,2308.11958,unknown,https://arxiv.org/abs/2308.11958,02_rl_stability_and_training/2308.11958_kumar_regenerative_regularization_l2_init.pdf,rl_stability_training,not trading-specific,none,L2-init; continual learning regularization,streaming/non-stationary,unknown,unknown,learning objective,Maintains plasticity using regularization toward initial parameters.,Relevant to regime drift.
A Study of Plasticity Loss in On-Policy Deep Reinforcement Learning,Arthur Juliani; Jordan T. Ash,2024,arXiv,2405.19153,unknown,https://arxiv.org/abs/2405.19153,02_rl_stability_and_training/2405.19153_juliani_ash_on_policy_plasticity_loss.pdf,rl_stability_training,not trading-specific,none,on-policy deep RL; PPO,online RL,RL observations,benchmark-dependent,environment return,Studies plasticity loss and mitigation in on-policy deep RL.,Highly relevant for PPO retraining/walk-forward experiments.
The 37 Implementation Details of Proximal Policy Optimization,Shengyi Huang; Rousslan Fernand Julien Dossa; Antonin Raffin; Anssi Kanervisto; Weixun Wang,2022,ICLR Blog Track,unknown,unknown,https://iclr-blog-track.github.io/2022/03/25/ppo-implementation-details/,02_rl_stability_and_training/iclr_blog_2022_ppo_implementation_details.html,rl_stability_training,not trading-specific,none,PPO,unknown,RL observations,benchmark-dependent,environment return,Practical PPO implementation checklist.,Reference for PPO code audits.
The Dormant Neuron Phenomenon in Deep Reinforcement Learning,Ghada Sokar; Rishabh Agarwal; Pablo Samuel Castro; Utku Evci,2023,ICML 2023 / PMLR,unknown,unknown,https://proceedings.mlr.press/v202/sokar23a.html,02_rl_stability_and_training/pmlr_v202_sokar23a_dormant_neuron_redo.pdf,rl_stability_training,not trading-specific,none,deep RL; ReDo,unknown,RL observations,benchmark-dependent,environment return,Identifies and mitigates dormant neurons via ReDo.,Potentially useful for long training on non-stationary data.
